hash	fecha	autor	mensaje
59b212dc6752ee0a48b313181cb5d30e652c5d4e	2026-03-24 20:13:40 +0000	Firebase Studio	Initialized workspace with Firebase Studio
1f77a6c0da6049420401eea443dd3fb738a09b6b	2026-04-12 11:30:49 +0000	J H	Initial prototype
d42207d82afe0ba39acc6bb90ed56574e56a0a98	2026-04-12 11:39:35 +0000	J H	como hago para ver las diferentes paginas, dame las urls correctas
c4a507885c000b164950fb4bd54097e030907c40	2026-04-12 11:49:17 +0000	J H	Cuando le doy click en el dashboard menu algo pasa y queda en blanco, co
fdac3fab8d2c202dbd4f1b2c23d16263c1e7953b	2026-04-12 11:53:16 +0000	J H	Por algun motivo, la seccion o el modulo de "Calendario" los d+¡as del me
d7a5d2e35744408d45ca402dbafb3992ed1163fa	2026-04-12 12:11:01 +0000	jessyfide	Initial commit - Medi Notes app
b2b11df30921f877e95474fca6264db0a1827b71	2026-04-12 06:36:47 -0600	jessyfide	Update README.md
9cb8050b3f2cebc3ec5692633a7e8bc26cb7e506	2026-04-12 07:02:06 -0600	jessyfide	Update README.md
b5e7e8668b32101e796d2da1eaa01265593a9127	2026-05-24 14:54:32 +0000	J H	Ayudame a setear la base de datos de medi notes- de esta apliracion, la
bc86dfe87a65b2202d98f6f89f897badbf385de5	2026-05-24 15:24:24 +0000	J H	No veo la opcion de " Firestore Database "
564161b246369b026ff6fee3464baa88c057b6fa	2026-05-24 15:30:11 +0000	J H	Ya la cree, pero creoq ue se te olvido crear la integracion para los mod
ff2f3039bcd07afda4892e171ca515376cef8902	2026-05-24 15:55:41 +0000	J H	y que hace esta variable "measurementId" ya que tiene un valor, como loo
ac66ae8f7853fbe812fae476f8be1fdca28ba38b	2026-05-24 15:57:07 +0000	J H	Listo, ya agregue esas variables
0c9b682571518fb2a33061456468707bd15be48d	2026-05-24 16:01:18 +0000	J H	No quiero que modifiques elc odigo ni nada pero se supoen que parte de l
7297a30acce6a5bfa1662591a1a8c0e2e02ab6ff	2026-05-24 16:52:22 +0000	J H	Fix DB
4547854180131d213f43dddd1962bb3f62e9d092	2026-05-24 17:01:27 +0000	J H	Merge branch 'main' of https://github.com/jessyfide/medi-notes
48e44502b9706dc1d53ac7db0d5eb7ed50a12e62	2026-05-26 18:57:08 -0600	Ricardo Artavia Solano	Create Links_Documentacion.txt
0382428450a8ba81bf30c5c18bb5e848b87d063e	2026-05-26 18:57:45 -0600	Ricardo Artavia Solano	Update and rename Links_Documentacion.txt to Links_Documentacion.md
0e962e084b1ea6e9480216fcb1af52a4c3496a6d	2026-05-26 18:58:48 -0600	Ricardo Artavia Solano	Update Links_Documentacion.md
fd00d8fb37212d3c7e3d9bd6890c71d4b01c3986	2026-05-26 18:59:05 -0600	Ricardo Artavia Solano	Rename Links_Documentacion.md to Documentacion.md
37485ce394bd2721ca9cb446985f5dac591ed172	2026-05-26 19:00:51 -0600	Ricardo Artavia Solano	Update Documentacion.md
6d45bbb8e2f609eeef4f21b6ada88bdbd95306e3	2026-05-26 19:01:27 -0600	Ricardo Artavia Solano	Update Documentacion.md
ec8c974809261048a5776acc1c7e9cb6e0a94153	2026-05-26 19:02:01 -0600	Ricardo Artavia Solano	Update Documentacion.md
418c3417ac81b6bd422285fef657221dd9afa689	2026-05-28 15:15:39 -0600	Erick Marin	Implement AUT-HU-001 real login authentication
8e14cabd9bbe2ed897e4c5aac40d0aa1c691cae2	2026-05-28 16:13:01 -0600	Erick Marin Monge	Merge pull request #83 from Organization-Medi-Notes/feature/erick-aut-hu-001
9dffeee0967c44bedd732f87bc0d4b32b6e22961	2026-05-28 17:37:22 -0600	Erick Marin	Implement AUT-HU-011 user registration
dafcee0842f91faf92f13c54b8e14f327e11369f	2026-05-28 18:22:25 -0600	Erick Marin Monge	Merge pull request #85 from Organization-Medi-Notes/feature/erick-aut-hu-011
9b06e2510384b60eae10c93c3324f99ba1ba367f	2026-05-29 03:12:57 +0000	J H	registrar nuevos pacientes
4f9927e474933e95677f62548ea85b69e163bfcb	2026-05-30 18:27:57 -0600	Erick Marin Monge	Merge pull request #86 from Organization-Medi-Notes/HU-PAC-001
ed4283a77465bfeb0997e8dac8f35b544862a335	2026-05-31 15:31:38 -0600	Erick Marin	Implement AUT-HU-006 logout
409d20f66cadbe761b9c9a285abe3784dfe0e807	2026-05-31 16:39:40 -0600	Erick Marin	Implement AUT-HU-003 password recovery
314510acd4669b1cc66eb9462a9f8371a58ab171	2026-05-31 17:26:48 -0600	Erick Marin	AUT-HU-007 - Cambio de contrase+¦a desde configuraci+¦n
9c045aac61addd73ef450de5f2054857a1a33f23	2026-05-31 18:03:42 -0600	Erick Marin	AUT-HU-005 - Bloqueo temporal por intentos fallidos
bf252c8663f0f5c87a26a103f9df401cb9943c8a	2026-06-01 05:40:49 +0000	J H	HU-PAC-002 Implementar edici+¦n de pacientes
f0c58d3121c6b0ea04f775a91b7ea662efad499d	2026-05-31 23:45:58 -0600	jessyfide	Merge pull request #91 from Organization-Medi-Notes/HU-PAC-002
eb166424d6fbc601167a336d3e502b19c33a9fa7	2026-06-01 06:08:49 +0000	J H	Ver historial m+®dico del paciente
55e89f56e3e19af7f76f4b88514c59833a3192b7	2026-06-01 00:13:10 -0600	jessyfide	Merge pull request #92 from Organization-Medi-Notes/HU-PAC-004
5ebe5361d732d71f64c44f8a71b79349c57676be	2026-06-01 06:35:42 +0000	J H	HU-PAC-005 Ver citas pasadas del paciente
fff1a65d188653ce76490c4e464dbdf038c895f4	2026-06-01 00:38:20 -0600	jessyfide	Merge pull request #93 from Organization-Medi-Notes/HU-PAC-005
ad35d2e1c416674bdaefde545d5a225007002539	2026-06-01 07:20:47 +0000	J H	HU-PAC-006 Adjuntar documentos al paciente
25fd05867f81cdf4faf2553e32673db95b12af2d	2026-06-01 01:31:21 -0600	jessyfide	Merge pull request #94 from Organization-Medi-Notes/HU-PAC-006
dffa5c66417a9399655ff5170b89f43c17f4891e	2026-06-01 08:21:51 +0000	J H	U-PAC-007 Agregar notas cl+¡nicas y ver detalle de consulta
f84d8bf1a8e2f92615603cf7876948f7f94888b9	2026-06-01 02:25:04 -0600	jessyfide	Merge pull request #95 from Organization-Medi-Notes/HU-PAC-007
584807678505ae4d9013d59434563a3eb4b13716	2026-06-01 08:52:35 +0000	J H	HU-PAC-008 Archivar y desarchivar pacientes
bdbb60aebae178a637fbc484b92047303f7634c4	2026-06-01 02:54:05 -0600	jessyfide	Merge pull request #96 from Organization-Medi-Notes/HU-PAC-009
2315698b0713fc8aecdb5f19adf4a38afbd8f906	2026-06-01 09:10:18 +0000	J H	HU-PAC-010
